,an,sem,nrcrt,nume_disciplina,nume_engl,sapt,CURS,numarore,categdisc,obligativ,orestudindiv,examen,credite,nume_nota,nume_catedra,numes_fac,nume_pachet,facultate,specializare,profil_facultate,nivel,LABORATOR,email,PROIECT,SEMINAR,PRACTICA,PRAC.PROI.,(NEPRECIZ)
10,1,2,9.1,Elemente avansate de dinamica automobilelor                                                                             ,Elements of Vehicle Dynamics                                                                                                                          ,14,2,2,DA   ,DO,58,colocviu                      ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL II,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,Adrian.Todorut@auto.utcluj.ro,1,,,,
11,1,2,9.2,Siguranta activa si pasiva la automobile                                                                                ,Active and Passive Vehicle Safety                                                                                                                     ,14,2,2,DA   ,DO,58,colocviu                      ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL II,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,1,,,,
12,1,2,10,Activitate de cercetare-proiectare 2                                                                                    ,Research Activity 2                                                                                                                                   ,14,,14,DA   ,DI,54,colocviu                      ,10,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,,14,,
13,1,2,302,Voluntariat 2                                                                                                           ,Volunteering 2                                                                                                                                        ,14,,1,DC   ,Dfac,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,1,,,
14,2,1,11,"Tehnici avansate de modelare si simulare, CAD/CAM                                                                       ","Advanced Techniques of Modeling and Simulation, CAD/CAM                                                                                               ",14,1,1,DS   ,DI,72,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,Emilian.Borza@auto.utcluj.ro,1,,,,
15,2,1,12,Gestionarea si reciclarea automobilelor scoase din uz                                                                   ,Managing and Reciclying of Wreck Vehicles                                                                                                             ,14,2,1,DA   ,DI,58,colocviu                      ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,1,Istvan.Barabas@auto.utcluj.ro,,,,,
16,2,1,13,Tehnici avansate de evaluare si reducere a poluarii la automobile                                                       ,Advanced Technics for Vehicle Evaluation and Polution Mitigation                                                                                      ,14,2,1,DS   ,DI,44,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,1,nicolae.filip@auto.utcluj.ro,1,,,,
17,2,1,14,"Asigurari, leasing, taxe si impozite (de mediu, de drum)                                                                ","Insurance, Leasing, Fees and Road Taxes, Environmental Taxe                                                                                           ",14,1,1,DS   ,DI,72,colocviu                      ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,remus.urcan@auto.utcluj.ro,,1,,,
18,2,1,15.1,Tehnologii avansate si concepte ecologice in exploatarea automobilelor                                                  ,Advanced Technologies and Ecological Concepts of Vehicle Exploitation                                                                                 ,14,1,1,DS   ,DO,58,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL III,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,2,,,,,,
19,2,1,15.2,Sisteme avansate de navigare: GPS si GIS pentru automobile                                                              ,Advanced Navigation Systems: Vehicle GPS and GIS                                                                                                      ,14,1,2,DS   ,DO,58,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL III,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,2,Cristian.COLDEA@auto.utcluj.ro,,,,,
20,2,1,16,Etica si integritate academica                                                                                          ,Academic Ethics and Integrity                                                                                                                         ,14,1,1,DC   ,DI,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,Ioana.Sechel@auto.utcluj.ro,,,,,
21,2,1,17,Activitate de cercetare-proiectare 3                                                                                    ,Research Activity 3                                                                                                                                   ,14,,14,DA   ,DI,4,colocviu                      ,8,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,,14,,
22,2,1,303,Voluntariat 3                                                                                                           ,Volunteering 3                                                                                                                                        ,14,,1,DC   ,Dfac,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,1,,,
23,2,2,18,Practica de cercetare                                                                                                   ,Research Practice                                                                                                                                     ,14,,14,DA   ,DI,54,colocviu                      ,10,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,,14,,
24,2,2,19,Elaborare lucrare de disertatie                                                                                         ,Dissertation Project Work                                                                                                                             ,14,,7,DA   ,DI,152,verificare                    ,10,A/R       ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,7,,,,
25,2,2,20,Practica pentru elaborarea lucrarii de disertatie                                                                       ,Practice for the dissertation work                                                                                                                    ,14,,7,DA   ,DI,152,colocviu                      ,10,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,,,7,
26,2,2,21,Sustinere lucrare de disertatie                                                                                         ,Presentation of Dissertation                                                                                                                          ,0,,0,     ,DI,0,examen                        ,10,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,,,,0
27,2,2,304,Voluntariat 4                                                                                                           ,Volunteering 4                                                                                                                                        ,14,,1,DC   ,Dfac,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,1,,,
28,1,1,1,Analiza matematica                                                                                                      ,Mathematical Analysis                                                                                                                                 ,14,2,2,DF   ,DI,69,examen                        ,5,Nota      ,Matematica                                                                                          ,AC        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,Vasile-Horea.Ile@math.utcluj.ro,,2,,,
29,1,1,2,Chimie                                                                                                                  ,Chemistry                                                                                                                                             ,14,2,1,DF   ,DI,33,examen                        ,3,Nota      ,Fizica si Chimie                                                                                    ,IMM       ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Violeta.Popescu@chem.utcluj.ro,,,,,
30,1,1,3,Stiinta si ingineria materialelor                                                                                       ,Materials Science and Engineering                                                                                                                     ,14,2,2,DID  ,DI,33,colocviu                      ,3,Nota      ,Stiinta si ingineria materialelor                                                                   ,IMM       ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Calin.Prica@stm.utcluj.ro>,,,,,
31,1,1,4,Geometrie descriptiva                                                                                                   ,Descriptive Geometry                                                                                                                                  ,14,2,2,DF   ,DI,69,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,sanda.bodea@auto.utcluj.ro,,,,,
32,1,1,5,"Algebra liniara, geometrie analitica si diferentiala                                                                    ","Linear Algebra, Analytical and Differential Geometry                                                                                                  ",14,2,2,DF   ,DI,58,examen                        ,4,Nota      ,Matematica                                                                                          ,AC        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,Vasile-Horea.Ile@math.utcluj.ro,,1,,,
33,1,1,6,Programarea calculatoarelor si limbaje de programare I                                                                  ,Computer Programming and Programming Languages I                                                                                                      ,14,1,1,DF   ,DI,33,colocviu                      ,3,Nota      ,Ingineria sistemelor mecanice                                                                       ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,Iulian.Lupea@mep.utcluj.ro,,,,,
34,1,1,7,Disciplina socio-umana I                                                                                                ,Social and Humanistic Subject I                                                                                                                       ,14,1,1,DC   ,DI,22,colocviu                      ,2,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,andrei.kiraly@auto.utcluj.ro,,1,,,
35,1,1,8,Limbi moderne 1                                                                                                         ,Modern Languages 1                                                                                                                                    ,14,,2,DC   ,DI,47,verificare                    ,3,Nota      ,Limbi moderne si comunicare                                                                         ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,2,,,
36,1,1,9,Educatie fizica si sport I                                                                                              ,Physical Education and Sport I                                                                                                                        ,14,,2,DC   ,DI,22,verificare                    ,2,A/R       ,Mecatronica si dinamica masinilor                                                                   ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,2,,,
37,1,1,301,Voluntariat 1                                                                                                           ,Volunteering 1                                                                                                                                        ,14,,1,DC   ,Dfac,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,1,,,
38,1,2,10,Matematici speciale                                                                                                     ,Special Mathematics                                                                                                                                   ,14,2,1,DF   ,DI,33,examen                        ,3,Nota      ,Matematica                                                                                          ,AC        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,Daniela.MARIAN@math.utcluj.ro,,1,,,
39,1,2,11,Desen tehnic si infografica I                                                                                           ,Technical Drawing and Infographics I                                                                                                                  ,14,2,2,DF   ,DI,44,colocviu                      ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,Liviu.SCURTU@auto.utcluj.ro,,,,,
40,1,2,12,Programarea calculatoarelor si limbaje de programare II                                                                 ,Computer Programming and Programming Languages II                                                                                                     ,14,1,1,DF   ,DI,47,colocviu                      ,3,Nota      ,Ingineria sistemelor mecanice                                                                       ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Iulian.Lupea@mep.utcluj.ro,,,,,
41,1,2,13,Fizica                                                                                                                  ,Physics                                                                                                                                               ,14,2,1,DF   ,DI,44,examen                        ,4,Nota      ,Fizica si Chimie                                                                                    ,IMM       ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Lidia.Pop@phys.utcluj.ro,,1,,,
42,1,2,14,Tehnologia materialelor                                                                                                 ,Materials Technology                                                                                                                                  ,14,2,1,DID  ,DI,33,examen                        ,3,Nota      ,Stiinta si ingineria materialelor                                                                   ,IMM       ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Gyorgy.Thalmaier@sim.utcluj.ro,,,,,
43,1,2,15,Mecanica I                                                                                                              ,Mechanics I                                                                                                                                           ,14,2,1,DID  ,DI,44,examen                        ,4,Nota      ,Ingineria sistemelor mecanice                                                                       ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Claudiu.Schonstein@mep.utcluj.ro,,1,,,
44,1,2,16.1,Disciplina socio-umana II                                                                                               ,Social and Humanistic Subject II                                                                                                                      ,14,1,1,DC   ,DO,22,colocviu                      ,2,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL I,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,r26bo@yahoo.com,,1,,,
45,1,2,17,Limbi moderne 2                                                                                                         ,Modern Languages 2                                                                                                                                    ,14,,2,DC   ,DI,22,verificare                    ,2,Nota      ,Limbi moderne si comunicare                                                                         ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,2,,,
46,1,2,18,Educatie fizica si sport II                                                                                             ,Physical Education and Sport II                                                                                                                       ,14,,2,DC   ,DI,22,verificare                    ,2,A/R       ,Mecatronica si dinamica masinilor                                                                   ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,2,,,
47,1,2,19,Practica de domeniu I                                                                                                   ,Practical Work I                                                                                                                                      ,2,,30,DID  ,DI,15,verificare                    ,3,A/R       ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,,30,,
48,1,2,302,Voluntariat 2                                                                                                           ,Volunteering 2                                                                                                                                        ,14,,1,DC   ,Dfac,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,1,,,
49,2,1,20,Desen tehnic si infografica II                                                                                          ,Technical Drawing and Infographics II                                                                                                                 ,14,1,1,DF   ,DI,58,colocviu                      ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,andrei.kiraly@auto.utcluj.ro,,,,,
50,2,1,21,Mecanica II                                                                                                             ,Mechanics II                                                                                                                                          ,14,2,1,DID  ,DI,69,examen                        ,5,Nota      ,Ingineria sistemelor mecanice                                                                       ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Claudiu.Schonstein@mep.utcluj.ro,,1,,,
51,2,1,22,Rezistenta materialelor I                                                                                               ,Material Strength I                                                                                                                                   ,14,3,3,DID  ,DI,66,examen                        ,6,Nota      ,Inginerie mecanica                                                                                  ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,Mircea.Dudescu@rezi.utcluj.ro,,1,,,
52,2,1,23,Masini unelte si control dimensional                                                                                    ,Machine Tools and Dimensional Control                                                                                                                 ,14,2,2,DID  ,DI,69,examen                        ,5,Nota      ,Ingineria proiectarii si robotica                                                                   ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,Liviu.Crisan@muri.utcluj.ro,,,,,
53,2,1,24,Electrotehnica si masini electrice                                                                                      ,Electrotechnics and Electrical Machines                                                                                                               ,14,2,2,DID  ,DI,44,examen                        ,4,Nota      ,Electrotehnica si masurari                                                                          ,IE        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,Sorin.BUDU@ethm.utcluj.ro,,,,,
54,2,1,25,Electronica                                                                                                             ,Electronics                                                                                                                                           ,14,2,1,DID  ,DI,33,colocviu                      ,3,Nota      ,Automatica                                                                                          ,AC        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,1,Ionut.MUNTEAN@aut.utcluj.ro,,,,,
55,2,1,26,Limbi moderne 3                                                                                                         ,Modern Languages 3                                                                                                                                    ,14,,2,DC   ,DI,47,verificare                    ,3,Nota      ,Limbi moderne si comunicare                                                                         ,CM        ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,2,,,
56,2,1,102,"Pedagogie II (Teoria si metodologia instruirii, Teoria si metodologia evaluarii)                                        ","Pedagogy II (Instruction Theory and Methodology, Assessment Theory and Methodology)                                                                   ",14,2,2,DC   ,Dfac,69,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,2,,,
57,2,1,303,Voluntariat 3                                                                                                           ,Volunteering 3                                                                                                                                        ,14,,1,DC   ,Dfac,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,,,,1,,,
58,2,2,27,Grafica asistata de calculator                                                                                          ,Computer-Aided Graphics                                                                                                                               ,14,1,1,DF   ,DI,33,colocviu                      ,3,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Autovehicule Rutiere-lic.                                                                           ,Ingineria Autovehiculelor - (lic+mas)                                                               ,licenta,2,monica.balcau@auto.utcluj.ro,,,,,
